% function evaluation | noise-free fitness - Fopt (-5.235000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.916812782e+002 +4.916812782e+002 +4.393312782e+002 +4.393312782e+002 -2.7193e+000 -3.6585e+000 -3.5009e-001 -3.8239e+000 +3.7349e+000 +3.5604e+000 +1.0489e+001 -3.8922e+000 +8.8792e-001 -3.2597e+000 -2.0413e+000 +6.2537e-001 +3.8497e+000 -4.7127e+000 +5.5986e+000 +6.0500e+000 -3.0052e+000 -1.6835e+000 -5.5877e-001 +1.6040e+000
3 +1.292762352e+002 +1.292762352e+002 +7.692623522e+001 +7.692623522e+001 -6.4989e+000 -6.0779e-001 +7.2989e+000 -1.7552e+000 -3.9370e+000 +5.0112e+000 +2.6049e+000 -3.5086e+000 -2.6476e-001 -3.7051e-001 -2.2412e+000 +3.7187e+000 +2.0873e+000 -6.0096e+000 +3.3854e+000 +5.1143e+000 -2.9258e+000 -5.1033e+000 -1.7399e+000 +2.6589e+000
9 +1.212940505e+002 +1.212940505e+002 +6.894405046e+001 +6.894405046e+001 -6.3948e+000 -4.8121e-001 +8.0038e-001 -7.2118e-001 +7.8999e-001 +3.7373e+000 +3.2212e+000 -4.5513e+000 +4.6366e+000 +1.4748e-001 +1.0190e-001 +3.6860e+000 -1.2168e+000 -6.1307e+000 -4.7998e+000 +4.3279e+000 -4.9435e+000 -3.5590e+000 +7.6548e-002 -1.8983e-002
12 +9.465223976e+001 +9.465223976e+001 +4.230223976e+001 +4.230223976e+001 -4.0471e+000 +9.9638e-001 +9.2210e-001 -1.8101e+000 +6.2309e+000 +6.3298e+000 +2.6373e+000 -4.2830e+000 -3.2267e+000 -3.2068e+000 +5.8385e-001 +1.4122e+000 +1.8610e-001 -4.1555e+000 -2.7376e+000 +4.6889e+000 +1.6916e-001 -3.0695e+000 -2.1796e+000 -1.3175e+000
40 +7.656761039e+001 +7.656761039e+001 +2.421761039e+001 +2.421761039e+001 -4.1347e+000 -1.8582e+000 +1.8334e+000 -2.0196e-001 -2.0282e-001 +4.3757e+000 +6.8297e+000 -5.0034e+000 +2.1922e+000 -9.8070e-003 -6.3720e-002 +1.2868e+000 +2.3927e+000 -3.7887e+000 -5.3538e-001 +1.8734e+000 -2.6509e+000 -5.5640e-001 -6.9778e-001 -5.5436e-001
46 +5.482724075e+001 +5.482724075e+001 +2.477240747e+000 +2.477240747e+000 -4.2906e+000 +8.7603e-002 -2.0248e+000 -2.4039e+000 +4.4734e+000 +3.7960e+000 +4.1755e-001 -6.8311e+000 -4.0620e-001 -8.9175e-001 +5.9786e-001 -2.7804e-002 +1.3880e+000 +9.0697e-001 -1.7143e-001 +1.2376e+000 -3.9196e+000 -3.5337e+000 +1.6825e+000 +8.0845e-001
130 +4.470337789e+001 +4.470337789e+001 -7.646622112e+000 -7.646622112e+000 -3.4049e+000 +5.4987e+000 +2.0980e-001 -8.1876e-001 -2.5699e+000 +2.2625e+000 +2.5262e+000 -4.0044e+000 +2.0905e-001 -4.9950e+000 -3.3281e+000 +2.0366e+000 -1.7293e-001 +1.1496e-001 +6.0903e-001 -1.3580e+000 -2.7174e+000 -9.6373e+000 +1.9603e+000 -2.4459e+000
176 +4.393688583e+001 +4.393688583e+001 -8.413114172e+000 -8.413114172e+000 -3.0102e+000 -5.1121e-001 +3.4639e+000 +2.3436e-001 +1.3314e+000 +4.5928e+000 +2.5292e+000 -3.8190e+000 +1.6602e+000 -1.0564e+000 +5.9639e-002 +4.0080e+000 -1.8188e+000 -2.0585e+000 +3.7244e+000 +9.8689e-001 -3.6638e+000 -5.4165e+000 -7.8415e-001 -2.2715e+000
233 +3.652389337e+001 +3.652389337e+001 -1.582610663e+001 -1.582610663e+001 -7.8729e+000 +1.6421e-001 +4.7550e+000 -9.1825e-001 -3.6493e-001 +5.7426e+000 +1.7272e+000 -1.9960e+000 -9.1872e-001 -6.5643e+000 -3.0536e-001 +1.4741e-001 +2.2150e+000 -5.6880e-001 +2.2073e+000 +4.9093e+000 -1.0857e+000 -6.4200e+000 +2.2141e+000 -3.8171e+000
279 +3.529802884e+001 +3.529802884e+001 -1.705197116e+001 -1.705197116e+001 -5.3084e+000 -1.8478e+000 +3.8260e+000 -9.8997e-001 +1.8934e+000 +4.7967e+000 +2.7332e+000 -1.1290e+000 +3.0269e+000 -3.9674e+000 -1.4112e+000 +5.3576e+000 +7.9274e-001 -1.0765e+000 -1.5509e+000 +1.0353e+000 -1.0587e+000 -3.6788e+000 +5.3918e+000 -5.0335e-001
