% function evaluation | noise-free fitness - Fopt (1.238300000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.354597688e+006 +1.354597688e+006 +1.354721518e+006 +1.354721518e+006 -3.0271e+000 -6.7571e+000 -7.2891e+000 -9.7796e-001 +3.7205e+000 -2.6078e+000 -5.4851e+000 +4.0000e+000 +3.6368e+000 -1.3315e+000 -2.2792e+000 -3.4862e+000 -2.4125e+000 -5.9528e+000 -4.8509e-001 -4.7657e+000 -3.6886e+000 -7.3208e-001 -3.6278e+000 +3.9409e+000
3 +9.046659435e+005 +9.046659435e+005 +9.047897735e+005 +9.047897735e+005 -2.7759e+000 -3.4193e+000 -2.9077e+000 -5.3022e+000 +2.5954e+000 -1.1697e-001 -5.4362e+000 +6.8765e+000 +1.0433e+001 -1.3187e+000 -5.1744e-001 +5.0076e+000 -2.0760e+000 +2.2884e+000 +2.6377e+000 -1.9975e+000 -4.0614e+000 -2.4004e+000 -5.3269e+000 +1.5792e+000
5 +7.512160378e+005 +7.512160378e+005 +7.513398678e+005 +7.513398678e+005 -5.8456e+000 +3.5600e+000 -7.1317e+000 -2.9286e+000 +9.3309e-001 -6.3641e-001 -7.3012e+000 +4.2025e-001 +3.7898e+000 -2.2015e+000 -4.3357e+000 -6.6002e-001 -4.2667e+000 -1.8561e+000 +1.4852e+000 -7.9775e-001 -3.5237e+000 +4.5231e-001 -4.8782e+000 +4.6624e-001
10 +6.847370928e+005 +6.847370928e+005 +6.848609228e+005 +6.848609228e+005 -7.3713e-001 -3.2940e+000 -3.0495e+000 -3.0253e+000 +3.1020e+000 -1.5569e+000 -3.2135e+000 +1.6853e+000 +3.9529e+000 -1.1955e+000 -3.7141e+000 +6.1566e+000 -7.0043e+000 -3.2579e+000 +3.2429e+000 -2.4557e+000 +2.5420e+000 +1.2738e-001 -2.5892e+000 -2.1137e+000
28 +6.272370928e+005 +6.272370928e+005 +6.273609228e+005 +6.273609228e+005 -1.1117e+000 -3.6704e+000 -4.1229e+000 -1.6072e+000 -7.7794e-001 +9.4336e-001 -4.3256e+000 +6.5428e+000 -2.1428e+000 -1.7531e+000 -4.5903e+000 -2.6239e+000 -5.3766e+000 +1.9801e+000 -3.2085e-001 -4.4500e+000 -2.1521e+000 -2.1279e+000 -1.4856e+000 +4.7652e+000
57 +1.505237922e+005 +1.505237922e+005 +1.506476222e+005 +1.506476222e+005 -2.3829e-001 -4.4701e+000 -6.3861e-001 -3.1126e+000 -1.5294e+000 +1.6396e+000 -2.5094e+000 +4.0545e+000 +4.3679e+000 -3.0851e+000 +3.6344e+000 +3.7849e+000 -1.9882e-001 -2.5058e+000 +3.2613e-001 -6.7837e-001 +1.3564e+000 -1.7280e+000 -2.9848e+000 -2.6021e+000
261 +1.232158924e+005 +1.232158924e+005 +1.233397224e+005 +1.233397224e+005 -1.4528e+000 -1.3962e+000 +1.6607e+000 -2.7037e+000 +5.7831e+000 +4.5973e+000 +3.0653e+000 -1.8206e+000 -2.8525e+000 +2.9553e-001 +1.0813e+000 -6.4467e-001 -4.4233e+000 -1.1184e+000 -2.9199e+000 -1.6934e+000 +7.7477e-001 -1.6028e+000 +9.5773e-001 -1.2122e+000
320 +1.078172392e+005 +1.078172392e+005 +1.079410692e+005 +1.079410692e+005 -1.5753e+000 -1.2439e+000 -2.0009e+000 -2.2086e+000 -5.5434e-001 +1.6276e+000 -2.9718e+000 +2.6203e+000 +2.6089e+000 -3.3919e-001 -1.7946e+000 +8.5177e-001 -7.0498e-001 -3.1280e+000 +4.3035e-001 -2.5166e+000 -7.7759e-001 +3.7379e-001 -1.9421e+000 +2.2135e+000
325 +9.767242891e+004 +9.767242891e+004 +9.779625891e+004 +9.779625891e+004 +2.7068e+000 -3.6928e+000 -1.1201e+000 +1.1252e+000 +8.0187e-001 -1.0228e+000 -1.1279e+000 +2.6301e+000 +4.3609e+000 -2.9689e-001 -4.1777e+000 +2.1030e+000 +1.8557e-001 -5.5017e-001 -1.7616e-002 +2.3731e+000 -1.8128e-001 -4.0105e-001 -9.9679e-001 -2.5360e+000
358 +5.175819580e+004 +5.175819580e+004 +5.188202580e+004 +5.188202580e+004 -1.4472e+000 -3.5483e+000 +6.1378e-001 -7.6068e-001 -2.1975e+000 +1.1602e+000 -9.9245e-001 -1.0695e+000 -8.4983e-001 -3.9100e-001 -8.8546e-001 -6.7447e-001 -3.7111e+000 -2.0738e+000 -5.1806e-001 -1.9360e+000 +2.3187e+000 -1.7632e+000 -2.7314e+000 +2.8702e-001
